time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-03T21:18:35.380Z,32.0253333,-114.9261667,20.68,2.82,ml,14,168,0.1434,0.29,ci,ci40199104,2022-03-03T22:07:07.040Z,"20km SSE of Estacion Coahuila, B.C., MX",earthquake,0.83,0.95,0.126,21,reviewed,ci,ci
2022-03-03T21:17:17.280Z,18.037,-66.9848333333333,1.28,2.04,md,4,139,,0.15,pr,pr71338798,2022-03-03T21:35:20.760Z,"4 km W of Liborio Negron Torres, Puerto Rico",earthquake,0.44,0.78,0.139959493023126,3,reviewed,pr,pr
2022-03-03T21:17:16.030Z,33.4986667,-116.6941667,11.43,0.85,ml,30,33,0.0238,0.16,ci,ci40199096,2022-03-03T21:49:08.600Z,"6km SSW of Anza, CA",earthquake,0.25,0.47,0.13,22,reviewed,ci,ci
2022-03-03T21:14:48.640Z,38.8235016,-122.8095016,1.1,0.35,md,7,135,0.0004596,0.02,nc,nc73700771,2022-03-03T22:01:14.966Z,"7km NW of The Geysers, CA",earthquake,0.35,0.68,,1,automatic,nc,nc
2022-03-03T21:10:30.860Z,52.2278333333333,-174.161833333333,13.86,0.56,ml,4,307,,0.1,av,av91050923,2022-03-04T02:32:20.580Z,"4 km NE of Atka, Alaska",earthquake,1.17,0.63,0.492304348199497,4,reviewed,av,av
2022-03-03T21:02:55.430Z,38.8246651,-122.8099976,1.41,1.61,md,16,37,0.00127,0.01,nc,nc73700766,2022-03-04T00:01:17.694Z,"7km NW of The Geysers, CA",earthquake,0.22,0.64,,1,automatic,nc,nc
2022-03-03T21:02:02.040Z,36.7011,-116.3284,8.3,0.1,ml,10,142.77,0.035,0.096,nn,nn00834879,2022-03-04T02:37:04.810Z,"44 km ESE of Beatty, Nevada",earthquake,,2,0.21,5,reviewed,nn,nn
2022-03-03T21:01:53.260Z,38.8228333,-122.7865,1.59,0.46,md,15,77,0.01058,0.02,nc,nc73700761,2022-03-04T00:23:11.816Z,"6km W of Cobb, CA",earthquake,0.31,0.34,0.475,2,reviewed,nc,nc
2022-03-03T20:50:38.150Z,38.8325005,-122.8191681,1.37,0.85,md,12,62,0.01154,0.01,nc,nc73700756,2022-03-03T21:27:17.761Z,"8km NW of The Geysers, CA",earthquake,0.25,0.96,,1,automatic,nc,nc
2022-03-03T20:41:11.960Z,38.8258324,-122.8008347,2.81,0.68,md,17,66,0.007616,0.01,nc,nc73700751,2022-03-03T20:49:10.532Z,"7km NW of The Geysers, CA",earthquake,0.28,0.66,0.18,2,automatic,nc,nc
